"Country","Total #Delta G/478K.V1 (B.1.617.2+AY.1+AY.2+AY.3)","#Delta G/478K.V1 (B.1.617.2+AY.1+AY.2+AY.3) in past 4 weeks","%Delta G/478K.V1 (B.1.617.2+AY.1+AY.2+AY.3) in past 4 weeks"
"United Kingdom","233,276","68,792","99.7"
"USA","68,233","25,081","88.4"
"Denmark","20,464","14,254","98.8"
"India","18,326","202","98.5"
"Germany","9,283","4,080","96.0"
"Italy","7,194","3,469","84.7"
"France","6,868","1,929","94.2"
"Netherlands","6,418","2,228","95.7"
"Spain","5,926","1,413","79.4"
"Sweden","5,165","1,501","93.3"
"Canada","4,840","0","0.0"
"Belgium","4,512","2,075","84.2"
"Switzerland","4,078","2,705","95.9"
"Ireland","4,025","677","97.1"
"Portugal","3,797","593","98.3"
"Australia","2,944","1,798","99.2"
"Israel","2,771","284","88.5"
"Mexico","2,730","633","88.5"
"South Africa","2,641","266","97.1"
"Singapore","2,334","1,209","97.8"
"Austria","1,775","275","26.7"
"Russia","1,591","13","100.0"
"Finland","1,574","104","98.1"
"Indonesia","1,373","53","96.4"
"Japan","1,360","126","73.7"
"Norway","1,010","352","70.1"
"Luxembourg","780","134","55.6"
"Turkey","724","6","0.3"
"South Korea","484","0","0.0"
"Kenya","480","49","96.1"
"Czech Republic","446","28","23.1"
"Poland","404","124","88.6"
"Croatia","371","0","0.0"
"Slovakia","353","189","93.6"
"Brazil","306","115","38.5"
"Bangladesh","282","9","100.0"
"China","241","20","100.0"
"Slovenia","233","0","0.0"
"Bulgaria","231","50","94.3"
"Democratic Republic of the Congo","228","0","0.0"
"Botswana","220","0","0.0"
"Lithuania","209","22","88.0"
"Romania","192","89","84.8"
"Thailand","188","20","95.2"
"Qatar","178","0","0.0"
"Nepal","138","0","0.0"
"Ghana","138","7","100.0"
"Uganda","134","0","0.0"
"Cambodia","125","48","45.3"
"Sri Lanka","121","60","59.4"
"Kuwait","118","0","0.0"
"Bahrain","115","0","0.0"
"Malaysia","114","5","100.0"
"Vietnam","113","0","0.0"
"Ecuador","98","60","22.6"
"Rwanda","98","0","0.0"
"Curacao","96","53","94.6"
"New Zealand","94","29","100.0"
"Zambia","82","0","0.0"
"Gambia","80","0","0.0"
"Lebanon","76","12","100.0"
"Malta","63","0","0.0"
"Aruba","54","37","80.4"
"Nigeria","53","30","57.7"
"Costa Rica","35","12","54.5"
"Monaco","34","0","0.0"
"Reunion","32","23","76.7"
"Bosnia and Herzegovina","31","7","100.0"
"Uzbekistan","30","0","0.0"
"Pakistan","28","0","0.0"
"Chile","28","0","0.0"
"Senegal","28","0","0.0"
"Bonaire","24","19","95.0"
"Latvia","22","0","0.0"
"Sint Maarten","22","16","42.1"
"Crimea","21","0","0.0"
"French Guiana","21","20","22.0"
"Georgia","19","5","71.4"
"Myanmar","18","0","0.0"
"Greece","17","0","0.0"
"Namibia","16","0","0.0"
"Mauritius","15","0","0.0"
"Malawi","14","0","0.0"
"Maldives","14","0","0.0"
"Ukraine","13","0","0.0"
"Philippines","13","0","0.0"
"Moldova","11","0","0.0"
"Iran","11","0","0.0"
"Albania","11","0","0.0"
"Oman","8","0","0.0"
"Angola","7","0","0.0"
"North Macedonia","7","0","0.0"
"Guadeloupe","6","1","100.0"
"Republic of the Congo","6","0","0.0"
"Paraguay","6","0","0.0"
"Algeria","6","0","0.0"
"Barbados","6","0","0.0"
"Martinique","6","1","4.2"
"Serbia","5","0","0.0"
"Jordan","5","0","0.0"
"Argentina","4","3","9.7"
"Andorre","4","0","0.0"
"Morocco","3","0","0.0"
"Taiwan","3","0","0.0"
"South Sudan","3","0","0.0"
"Burundi","3","0","0.0"
"Kosovo","2","0","0.0"
"Peru","2","0","0.0"
"Iraq","2","0","0.0"
"United Arab Emirates","2","0","0.0"
"Anguilla","1","0","0.0"
"kuwait","1","0","0.0"
"Republic of Congo","1","1","100.0"
"Dominican Republic","1","0","0.0"
"Tunisia","1","0","0.0"
"Azerbaijan","1","1","100.0"
"Northern Mariana Islands","1","0","0.0"
"Colombia","1","0","0.0"
"Venezuela","1","0","0.0"
"Guam","1","0","0.0"